Datum;Dygnsmedel
2022-01-01;4.1
2022-01-02;6.9
2022-01-03;6.3
2022-01-04;3.7
2022-01-05;1.1
2022-01-06;-2.0
2022-01-07;1.8
2022-01-08;2.1
2022-01-09;1.3
2022-01-10;1.1
2022-01-11;1.4
2022-01-12;4.8
2022-01-13;7.3
2022-01-14;6.4
2022-01-15;1.2
2022-01-16;5.1
2022-01-17;4.2
2022-01-18;2.5
2022-01-19;5.2
2022-01-20;1.3
2022-01-21;2.1
2022-01-22;1.5
2022-01-23;4.5
2022-01-24;5.7
2022-01-25;4.7
2022-01-26;6.0
2022-01-27;6.3
2022-01-28;4.5
2022-01-29;5.6
2022-01-30;4.4
2022-01-31;-0.7
2022-02-01;0.5
2022-02-02;-0.8
2022-02-03;2.8
2022-02-04;4.9
2022-02-05;4.3
2022-02-06;3.7
2022-02-07;4.4
2022-02-08;5.7
2022-02-09;5.4
2022-02-10;4.5
2022-02-11;2.5
2022-02-12;3.6
2022-02-13;3.8
2022-02-14;5.3
2022-02-15;5.4
2022-02-16;3.9
2022-02-17;3.4
2022-02-18;4.1
2022-02-19;2.9
2022-02-20;2.4
2022-02-21;2.8
2022-02-22;-0.1
2022-02-23;4.0
2022-02-24;4.3
2022-02-25;4.1
2022-02-26;1.8
2022-02-27;2.3
2022-02-28;3.6
2022-03-01;3.4
2022-03-02;3.6
2022-03-03;2.6
2022-03-04;1.3
2022-03-05;0.4
2022-03-06;1.5
2022-03-07;1.4
2022-03-08;0.8
2022-03-09;1.8
2022-03-10;3.1
2022-03-11;4.0
2022-03-12;6.1
2022-03-13;7.1
2022-03-14;7.4
2022-03-15;3.4
2022-03-16;2.9
2022-03-17;4.7
2022-03-18;6.1
2022-03-19;4.4
2022-03-20;5.1
2022-03-21;7.0
2022-03-22;5.5
2022-03-23;3.0
2022-03-24;4.7
2022-03-25;7.3
2022-03-26;8.7
2022-03-27;6.6
2022-03-28;7.1
2022-03-29;3.6
2022-03-30;0.7
2022-03-31;1.4
2022-04-01;1.2
2022-04-02;1.1
2022-04-03;3.2
2022-04-04;4.7
2022-04-05;2.7
2022-04-06;1.1
2022-04-07;3.8
2022-04-08;2.1
2022-04-09;5.2
2022-04-10;6.4
2022-04-11;6.1
2022-04-12;5.7
2022-04-13;9.1
2022-04-14;8.4
2022-04-15;7.5
2022-04-16;6.3
2022-04-17;7.4
2022-04-18;8.4
2022-04-19;12.3
2022-04-20;13.1
2022-04-21;13.1
2022-04-22;13.0
2022-04-23;11.1
2022-04-24;9.1
2022-04-25;7.5
2022-04-26;9.3
2022-04-27;9.2
2022-04-28;8.6
2022-04-29;9.0
2022-04-30;10.0
2022-05-01;10.9
2022-05-02;9.8
2022-05-03;10.4
2022-05-04;9.7
2022-05-05;10.1
2022-05-06;10.9
2022-05-07;11.7
2022-05-08;11.4
2022-05-09;12.2
2022-05-10;12.6
2022-05-11;11.5
2022-05-12;11.1
2022-05-13;10.8
2022-05-14;11.9
2022-05-15;11.9
2022-05-16;12.8
2022-05-17;13.6
2022-05-18;14.5
2022-05-19;15.1
2022-05-20;13.5
2022-05-21;11.8
2022-05-22;11.3
2022-05-23;14.7
2022-05-24;13.5
2022-05-25;12.8
2022-05-26;12.4
2022-05-27;11.5
2022-05-28;12.7
2022-05-29;13.8
2022-05-30;12.6
2022-05-31;13.1
2022-06-01;13.3
2022-06-02;13.0
2022-06-03;13.2
2022-06-04;12.3
2022-06-05;15.8
2022-06-06;17.6
2022-06-07;16.3
2022-06-08;14.0
2022-06-09;16.4
2022-06-10;15.3
2022-06-11;16.3
2022-06-12;15.0
2022-06-13;14.2
2022-06-14;15.4
2022-06-15;15.3
2022-06-16;13.0
2022-06-17;16.8
2022-06-18;16.1
2022-06-19;14.6
2022-06-20;15.2
2022-06-21;15.5
2022-06-22;15.6
2022-06-23;16.0
2022-06-24;21.3
2022-06-25;22.7
2022-06-26;22.6
2022-06-27;21.1
