Datum;Tid;Torkel Knutssonsg;Marsta;Norr Malma;Högdalen;Null
20-03-31;00:00;47.7994;54.9285;54.7764;49.5007;
20-04-01;00:00;53.0122;48.6574;52.6746;54.1033;
20-04-02;00:00;62.7556;63.1874;67.3364;62.8268;
20-04-03;00:00;52.3203;56.6444;66.187;54.1439;
20-04-04;00:00;42.4798;43.02;45.2998;44.6111;
20-04-05;00:00;58.3028;64.0054;64.7679;61.199;
20-04-06;00:00;55.0564;61.6555;62.9569;58.1601;
20-04-07;00:00;68.5077;75.2478;78.9594;71.4318;
20-04-08;00:00;50.5359;58.5454;59.2103;53.8438;
20-04-09;00:00;40.6318;44.8627;54.1996;41.4445;
20-04-10;00:00;46.1699;48.5331;64.1571;48.2944;
20-04-11;00:00;49.8809;49.7152;65.8865;54.1733;
20-04-12;00:00;75.2778;80.3735;79.0533;75.5017;
20-04-13;00:00;47.9024;54.1918;65.7158;48.6061;
20-04-14;00:00;49.1472;52.5172;60.4739;48.5095;
20-04-15;00:00;57.7425;63.3468;65.5375;57.9941;
20-04-16;00:00;40.0321;39.6729;50.33;40.4333;
20-04-17;00:00;40.9265;40.1371;47.8802;41.6024;
20-04-18;00:00;41.5299;46.4581;54.8314;42.1505;
20-04-19;00:00;51.5376;58.4686;64.6648;53.0828;
20-04-20;00:00;53.4427;55.475;67.182;57.0748;
20-04-21;00:00;48.2843;55.1016;64.5643;50.0038;
20-04-22;00:00;50.6148;53.1288;63.9888;51.8174;
20-04-23;00:00;46.8924;45.6368;61.3356;50.4896;
20-04-24;00:00;52.8144;59.5901;66.7987;53.2092;
20-04-25;00:00;50.8586;54.9597;65.6776;51.3767;
20-04-26;00:00;46.2537;47.421;59.2341;47.1374;
20-04-27;00:00;56.8679;57.0161;60.0776;61.523;
20-04-28;00:00;84.0175;77.6898;79.9082;87.3708;
20-04-29;00:00;65.0046;67.3009;75.8556;66.397;
20-04-30;00:00;73.0336;68.2454;77.0482;73.5216;
20-05-01;00:00;87.8409;88.889;86.3855;88.2451;
20-05-02;00:00;71.3202;81.7382;80.9619;75.6945;
20-05-03;00:00;70.7725;77.5219;82.0718;76.7877;
20-05-04;00:00;83.5077;86.2412;87.0906;84.731;
20-05-05;00:00;65.3357;54.1807;64.8817;70.728;
